          1.86822619         -0.87400603         -0.04753857
           7           2          18           2   1.3039582132080828E-005
           7           2          19           1   1.3735152216781260E-006
           7           2          19           2  -6.0264779327081962E-007
           7           2          19           3   2.3829982396035148E-007
           7           3           1           1   6.1731905702924313E-006
           7           3           1           2  -7.3442466169534608E-007
           7           3           1           3   1.5746873774119826E-009
           7           3           2           1   1.9794168195795305E-005
           7           3           2           2  -4.4874658626241615E-006
           7           3           2           3   1.4630063826186818E-006
           7           3           5           1  -1.3948323379935977E-006
           7           3           5           2  -7.5883164324337475E-007
           7           3           5           3   6.7400091146553666E-007
           7           3           6           2   4.6766980742799876E-006
           7           3           7           2  -1.2572716465567930E-005
           7           3           7           3   2.5351168199267352E-006
           7           3           8           1  -9.7371546060110347E-006
           7           3           8           3  -6.0791906177798032E-007
           7           3           9           2   5.5121152125484884E-006
           7           3           9           3  -4.7407208501200802E-007
           7           3          10           2  -1.3863025228195325E-005
           7           3          11           2  -7.4474148503823853E-007
           7           3          11           3  -3.0039256022525131E-009
           7           3          12           2  -1.4844034707748259E-006
           7           3          12           3   1.2012647108231463E-006
           7           3          13           1  -2.0198428076252328E-006
           7           3          13           2   7.2824400406173518E-007
           7           3          13           3   5.3524187596665999E-007
           7           3          14           2   8.2014593126011740E-006
           7           3          14           3   5.3543811277246849E-008
           7           3          15           2   5.2649478429566536E-005
           7           3          15           3  -1.8029792695668116E-006
           7           3          16           2  -9.3327435331076840E-006
           7           3          18           2  -1.5554057683713402E-006
           7           3          19           1  -3.5602943321513742E-007
           7           3          19           2   1.5590916723569027E-007
           7           3          19           3  -3.9188989006495202E-008
           8           1           1           1  -2.1604438196195433E-005
           8           1           1           2  -1.7138995764730984E-007
           8           1           1           3   5.3087576679968771E-006
           8           1           2           1  -6.6468129814372214E-004
           8           1           2           2   1.7127762674260015E-004
           8           1           2           3  -6.7796273886871596E-005
           8           1           5           1   2.0450638194260763E-005
           8           1           5           2  -2.4231659783204956E-006
           8           1           5           3  -6.9045066402835537E-006
           8           1           6           2  -7.6801841785581574E-005
           8           1           7           2   7.2210731971420394E-005
           8           1           7           3  -9.7371535243671440E-006
           8           1           8           1   5.7054225501879390E-004
           8           1           8           3   5.2621644095508662E-005
           8           1           9           2  -2.2011320123835055E-004
           8           1           9           3   2.6700147161874492E-005
